Departamento	Emergencias_ocurridas
CUNDINAMARCA	1996
ANTIOQUIA	1576
SANTANDER	1568
VALLE DEL CAUCA	1375
TOLIMA	1346
BOYACA	1310
NARIÑO	1231
CAUCA	1155
HUILA	1074
RISARALDA	916
CHOCO	888
BOLIVAR	882
NORTE DE SANTANDER	795
CESAR	716
ATLANTICO	664
QUINDIO	650
MAGDALENA	636
CORDOBA	630
CASANARE	548
CALDAS	543
SUCRE	494
META	396
BOGOTA. D.C.	345
LA GUAJIRA	326
CAQUETA	302
PUTUMAYO	289
ARAUCA	201
AMAZONAS	59
VICHADA	49
GUAVIARE	42
GUAINIA	28
ARCHIPIELAGO DE SAN ANDRES. PROVIDENCIA Y SANTA CATALINA	21
VAUPES	13
SAN ANDRES	9
ANTIOQUIA-BOLIVAR-SUCRE	1
